Mapping   | Cmmmand                                     | Role
----------+---------------------------------------------+------------------
M-H       | resize-pane -L 4                            | Resize pane toward left
M-J       | resize-pane -D 4                            | Resize pane toward bottom
M-K       | resize-pane -U 4                            | Resize pane toward up
M-L       | resize-pane -R 4                            | Resize pane toward right
M-!       | split-window -f -l 10 -c "#{pane_current_path}" | Bottom popup terminal
M--       | display-popup -E -w 80% -h 80% "lf"         | LF file manager in a popup
M-:       | command-prompt                              | Display command prompt
M-<       | swap-pane -U                                | Move pane to the left
M->       | swap-pane -D                                | Move pane to the right
M-Enter   | new-window                                  | Create a new window
M-=       | choose-buffer                               | Select among paste buffers
M-Down    | swap-window -t +1                           | Move window to the right
M-Up      | swap-window -t -1                           | Move window to the left
M-Left    | previous-window                             | Select next window to the left
M-Right   | next-window                                 | Select next window to the right
M-k       | previous-window                             | Select next window to the left
M-j       | next-window                                 | Select next window to the right
M-O       | switch-client -l                            | Change current Tmux client and session
M-n       | command-prompt -p "New Session:" "new-session -A -s '%%'" | Create new session
M-X       | "kill-session -a"                           | Kill all other sessions
M-x       | kill-session                                | Kill current session
M-h       | choose-window 'join-pane -h -s "%%"'        | Attach pane to another window
M-V       | select-layout even-horizontal               | Arrange panes using horizontal layout
M-S       | select-layout even-vertical                 | Arrange panes using vertical layout
M-l       | last-window                                 | Go to the last window
M-m       | command-prompt -p "Search man pages for:" "new-window 'exec man %%'" | Query man page in a temporary window
M-o       | selectp -t :.+                              | Go to the other split
M-p       | run-shell -b ~/bin/tmux-fzf                 | Select picker for window
M-s       | split-window -v -c "#{pane_current_path}"   | Create horizontal split
M-v       | split-window -v -c "#{pane_current_path}"   | Create vertical split
M-t       | break-pane                                  | Convert pane to a proper window
M-w       | choose-window                               | Show a list of sessions and windows
M-y       | copy-mode                                   | Activate copy mode
M-z       | resize-pane -Z                              | Maximize the current pane
C-b C-g   | setw synchronize-panes                      | Synchronize panes
C-b C-m   | if -F '#{s/off//:mouse}' 'set -g mouse off; display-message "mouse: off"' 'set -g mouse on; display-message "mouse: on"' | Toggle mouse mode on/off
C-b C-p   | run "tmux capture-pane; tmux save-buffer ~/tmp/tmux-\"$(date +%FT%T)\"" | Save buffer to a file
C-b C-r   | source-file ~/.tmux.conf \; display-message "Config reloaded" | Reload Tmux config
C-b C-s   | if -F '#{s/off//:status}' 'set status off' 'set status on' | Toggle status bar on/off
